Image Number,Tract,Visit,Patch,xcoord,ycoord,ccdnum,Catalog ID
70,0,303597,25,1929.99118664,2963.24097051,10,130393961566044299
71,0,303597,25,1460.97889142,3029.0048768,10,130393961566044301
72,0,303597,25,1731.11887855,3040.37646532,10,130393961566044302
73,0,303597,25,1107.96023947,3042.57636176,10,130393961566044303
74,0,303597,25,59.2885338012,3093.52985506,10,130393961566044305
75,0,303597,25,818.012480891,3215.9389526,10,130393961566044307
76,0,303597,25,1185.14270439,3260.12890302,10,130393961566044308
77,0,303597,25,506.655419284,3365.72409328,10,130393961566044310
78,0,303597,25,125.02648802,3664.09862666,10,130393961566044315
79,0,303597,25,283.037734299,3720.08664878,10,130393961566044316
80,0,303597,25,1110.80200362,3720.47120785,10,130393961566044317
81,0,303585,25,1423.0782412,172.072091686,10,130388807605289036
82,0,303585,25,1100.11084022,1316.83274619,10,130388807605289054
83,0,303585,25,1882.58679383,1599.21886291,10,130388807605289059
84,0,303585,25,1871.07188957,2605.26026836,10,130388807605289067
85,0,303585,25,88.9338672706,2765.01730257,10,130388807605289068
86,0,303585,25,1724.908074,3048.89331264,10,130388807605289073
87,0,303585,25,827.90221599,3250.00219407,10,130388807605289076
88,0,303585,25,129.100252018,3697.00489396,10,130388807605289083
89,0,303585,25,122.342858199,3962.04204717,10,130388807605289087
90,0,303593,25,255.437562699,106.777284839,10,130392243579125847
91,0,303593,25,1437.99729444,148.900757147,10,130392243579125849
92,0,303593,25,842.985180723,812.70714957,10,130392243579125859
93,0,303593,25,1544.99424094,1009.15582299,10,130392243579125863
94,0,303593,25,862.073684939,1133.07298535,10,130392243579125865
95,0,303593,25,1664.30589453,1377.72862911,10,130392243579125869
96,0,303593,25,615.774358026,1662.63708399,10,130392243579125874
97,0,303593,25,1658.90994558,1767.22222969,10,130392243579125876
98,0,303593,25,301.679830281,2320.9572782,10,130392243579125880
99,0,303593,25,1890.78149054,2603.74439835,10,130392243579125884
100,0,303593,25,105.031429646,2742.90427203,10,130392243579125885
101,0,303593,25,1472.8971067,3033.92944826,10,130392243579125890
102,0,303593,25,1743.93921506,3045.96069701,10,130392243579125891
103,0,303593,25,71.7762101394,3097.43013939,10,130392243579125893
104,0,303593,25,835.932603006,3229.97583906,10,130392243579125895
105,0,303593,25,1195.00903781,3266.64087898,10,130392243579125896
106,0,303593,25,1823.09872244,3298.05800526,10,130392243579125897
107,0,303593,25,140.988253986,3678.01684607,10,130392243579125903
108,0,303593,25,1122.49590242,3722.92863534,10,130392243579125904
109,0,303601,25,225.814912455,98.684397753,10,130395679552962672
110,0,303601,25,1403.06188839,120.80032618,10,130395679552962673
111,0,303601,25,1516.43909008,1003.78027699,10,130395679552962686
112,0,303601,25,65.1802036606,1104.33569582,10,130395679552962689
113,0,303601,25,833.966665819,1123.72955095,10,130395679552962690
114,0,303601,25,1738.0307624,1121.59838067,10,130395679552962691
115,0,303601,25,946.939032402,1242.380248,10,130395679552962694
116,0,303601,25,1088.03760533,1301.20129008,10,130395679552962696
117,0,303601,25,1336.35339993,1581.76940353,10,130395679552962701
118,0,303601,25,1873.65148361,1588.08288485,10,130395679552962702
119,0,303601,25,584.127073084,1656.68823682,10,130395679552962703
120,0,303601,25,1900.57419337,1729.02633985,10,130395679552962705
121,0,303601,25,1631.44185425,1759.19937218,10,130395679552962706
122,0,303601,25,88.7228844838,1777.024061,10,130395679552962708
123,0,303601,25,1957.73546757,2173.758063,10,130395679552962711
124,0,303601,25,1308.73950446,2208.51391474,10,130395679552962712
125,0,303601,25,272.458757447,2314.01197155,10,130395679552962713
126,0,303601,25,1651.79344968,2437.37281197,10,130395679552962716
127,0,303601,25,1861.13793165,2595.25611405,10,130395679552962718
128,0,303601,25,73.7444537615,2715.92896487,10,130395679552962719
129,0,303601,25,1003.69440147,2799.76195568,10,130395679552962721
130,0,303601,25,1913.87059958,2960.39527181,10,130395679552962724
131,0,303601,25,1444.39771683,3025.64687859,10,130395679552962726
132,0,303601,25,1715.61912929,3038.77125296,10,130395679552962727
